fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,0,-9,0,[],0,0,[],-9
2023-01-02,100.0,-3048.0,1,2023-1-2-0-0-0-0-1.79_,0,0,[],40.0
2023-01-03,100,-2896.2,0,[],0,0,[],40.0
2023-01-04,100,-2830.9,0,[],0,0,[],40.0
2023-01-05,100,-2873.1,0,[],0,0,[],40.0
2023-01-06,100,-2876.7,0,[],0,0,[],40.0
2023-01-07,100,-2868.4,0,[],0,0,[],40.0
2023-01-08,100,-2927.1,0,[],0,0,[],40.0
2023-01-09,100,-2882.6,0,[],0,0,[],40.0
2023-01-10,100,-3054.2,0,[],0,0,[],40.0
2023-01-11,100,-3028.8,0,[],0,0,[],40.0
2023-01-12,100.0,-2924.5,1,2023-1-12-19-51-14-750000-28.044999599456787_,0,0,[],40.0
2023-01-13,100,-2912.1,0,[],0,0,[],40.0
2023-01-14,100,-2950.8,0,[],0,0,[],40.0
2023-01-15,100,-3079.1,0,[],0,0,[],40.0
2023-01-16,100,-3194.3,0,[],0,0,[],40.0
2023-01-17,100,-3227.4,0,[],0,0,[],40.0
2023-01-18,100,-3256.8,0,[],0,0,[],40.0
2023-01-19,100,-3322.0,0,[],0,0,[],40.0
2023-01-20,99.9,-3262.3,2,2023-1-20-16-28-50-245000-11.115000009536743_2023-1-20-16-34-6-75000-53.08999967575073_,0,0,[],40.0
2023-01-21,100,-3262.6,0,[],0,0,[],40.0
2023-01-22,100,-3293.2,0,[],0,0,[],40.0
2023-01-23,100,-3181.6,0,[],0,0,[],40.0
2023-01-24,100,-3089.0,0,[],0,0,[],40.0
2023-01-25,99.9,-2975.7,3,2023-1-25-14-48-55-45000-19.414999961853027_2023-1-25-14-51-48-945000-5.5899999141693115_2023-1-25-15-14-7-230000-57.80499982833862_,0,0,[],40.0
2023-01-26,100,-2971.7,0,[],0,0,[],40.0
2023-01-27,99.9,-3025.5,5,2023-1-27-14-50-14-630000-16.634999990463257_2023-1-27-14-53-59-975000-22.339999675750732_2023-1-27-21-33-53-60000-24.639999866485596_2023-1-27-21-41-8-875000-10.679999828338623_2023-1-27-21-42-58-825000-10.865000009536743_,0,0,[],40.0
2023-01-28,100,-3087.7,0,[],0,0,[],40.0
2023-01-29,100,-3136.1,0,[],0,0,[],40.0
2023-01-30,99.9,-3020.9,2,2023-1-30-16-20-30-230000-41.27999997138977_2023-1-30-16-42-4-280000-11.129999876022339_,0,0,[],40.0
2023-01-31,100,-2903.9,0,[],0,0,[],40.0
2023-02-01,100,-2959.7,0,[],0,0,[],40.0
2023-02-02,100,-3036.1,0,[],0,0,[],40.0
2023-02-03,100,-2853.0,0,[],0,0,[],40.0
2023-02-04,100,-2724.0,0,[],0,0,[],40.0
2023-02-05,100,-2672.7,0,[],0,0,[],40.0
2023-02-06,100,-2569.0,0,[],0,0,[],40.0
2023-02-07,99.8,-2481.6,4,2023-2-7-14-32-15-435000-5.574999809265137_2023-2-7-14-35-3-440000-22.289999961853027_2023-2-7-14-36-24-160000-77.96999979019165_2023-2-7-14-41-16-585000-77.56499981880188_,0,0,[],40.0
2023-02-08,100,-2439.4,0,[],0,0,[],40.0
2023-02-09,100,-2417.0,0,[],0,0,[],40.0
2023-02-10,100,-2425.1,0,[],0,0,[],40.0
2023-02-11,100,-2356.2,0,[],0,0,[],40.0
2023-02-12,100,-2308.7,0,[],0,0,[],40.0
2023-02-13,100,-2266.1,0,[],0,0,[],40.0
2023-02-14,100.0,-2193.9,1,2023-2-14-16-4-25-45000-13.759999990463257_,0,0,[],40.0
2023-02-15,99.9,-2136.2,4,2023-2-15-15-56-37-975000-13.014999866485596_2023-2-15-19-41-0-175000-15.259999990463257_2023-2-15-20-18-15-380000-22.854999780654907_2023-2-15-21-30-47-595000-18.319999933242798_,0,0,[],40.0
2023-02-16,99.5,-2079.2,4,2023-2-16-0-3-48-385000-371.8199996948242_2023-2-16-0-15-49-260000-22.47000002861023_2023-2-16-0-24-57-940000-8.359999656677246_2023-2-16-2-36-36-900000-5.644999980926514_,0,0,[],40.0
2023-02-17,100,-2092.6,0,[],0,0,[],40.0
2023-02-18,100.0,-2154.2,2,2023-2-18-16-17-14-760000-13.979999780654907_2023-2-18-16-25-33-875000-25.109999895095825_,0,0,[],40.0
2023-02-19,100.0,-2391.8,3,2023-2-19-1-38-55-730000-8.34000015258789_2023-2-19-1-44-56-480000-16.490000009536743_2023-2-19-1-47-50-120000-8.47000002861023_,0,0,[],40.0
2023-02-20,99.9,-2367.9,2,2023-2-20-20-27-4-305000-10.65999984741211_2023-2-20-20-30-4-880000-32.6199996471405_,0,0,[],40.0
2023-02-21,100,-2340.0,0,[],0,0,[],40.0
2023-02-22,100,-2321.5,0,[],0,0,[],40.0
2023-02-23,100,-2306.3,0,[],0,0,[],40.0
2023-02-24,100,-2315.0,0,[],0,0,[],40.0
2023-02-25,100.0,-2336.4,1,2023-2-25-22-42-28-275000-11.259999752044678_,0,0,[],40.0
2023-02-26,100.0,-2265.9,1,2023-2-26-17-21-46-615000-8.389999866485596_,0,0,[],40.0
2023-02-27,100,-2239.8,0,[],0,0,[],40.0
2023-02-28,100,-2215.4,0,[],0,0,[],40.0
2023-03-01,100.0,-2144.6,2,2023-3-1-19-11-3-440000-5.479999780654907_2023-3-1-19-13-34-265000-27.080000162124634_,0,0,[],40.0
2023-03-02,100.0,-2147.2,1,2023-3-2-4-57-56-650000-8.519999980926514_,0,0,[],40.0
2023-03-03,100,-2062.1,0,[],0,0,[],40.0
2023-03-04,100,-2073.0,0,[],0,0,[],40.0
2023-03-05,100,-2014.4,0,[],0,0,[],40.0
2023-03-06,100,-1940.0,0,[],0,0,[],40.0
2023-03-07,100,-1902.8,0,[],0,0,[],40.0
2023-03-08,100,-2065.7,0,[],0,0,[],40.0
2023-03-09,100,-2188.4,0,[],0,0,[],40.0
2023-03-10,100,-2372.9,0,[],0,1,2023-3-10-9-20-10-295000_,40.0
2023-03-11,100,-2362.7,0,[],0,0,[],40.0
2023-03-12,100,-2378.3,0,[],0,0,[],40.0
2023-03-13,100,-2440.7,0,[],0,0,[],40.0
2023-03-14,100,-2433.2,0,[],0,0,[],40.0
2023-03-15,100,-2392.1,0,[],0,0,[],40.0
2023-03-16,100,-2454.1,0,[],0,0,[],40.0
2023-03-17,100,-2525.2,0,[],0,0,[],40.0
2023-03-18,99.6,-2588.6,1,2023-3-18-13-28-22-955000-313.11499977111816_,0,0,[],40.0
2023-03-19,99.6,-2530.1,1,2023-3-19-13-27-53-80000-311.50999999046326_,0,0,[],40.0
2023-03-20,100,-2528.7,0,[],0,1,2023-3-20-9-31-59-660000_,40.0
2023-03-21,99.5,-2678.4,1,2023-3-21-13-25-10-375000-434.289999961853_,0,0,[],40.0
2023-03-22,100,-2654.0,0,[],0,0,[],40.0
2023-03-23,100,-2669.0,0,[],0,0,[],40.0
2023-03-24,100,-2647.9,0,[],0,0,[],40.0
2023-03-25,100,-2658.5,0,[],0,0,[],40.0
2023-03-26,100,-2577.2,0,[],0,0,[],40.0
2023-03-27,100.0,-2513.1,2,2023-3-27-23-16-28-120000-28.055000066757202_2023-3-27-23-21-20-900000-11.329999923706055_,0,0,[],40.0
2023-03-28,99.4,-2425.1,5,2023-3-28-4-31-21-65000-2.755000114440918_2023-3-28-19-20-2-95000-5.514999866485596_2023-3-28-19-22-20-930000-21.75499987602234_2023-3-28-20-47-35-245000-81.50999999046326_2023-3-28-20-54-46-40000-371.1599998474121_,0,0,[],40.0
2023-03-29,100.0,-2394.3,1,2023-3-29-17-28-59-925000-9.420000076293945_,0,0,[],40.0
2023-03-30,99.9,-2391.9,2,2023-3-30-19-18-33-690000-55.11500000953674_2023-3-30-19-28-51-160000-5.499999761581421_,0,1,2023-3-30-8-25-34-365000_,40.0
2023-03-31,100,-2396.5,0,[],0,0,[],40.0
2023-04-01,100,-2267.7,0,[],0,0,[],40.0
2023-04-02,100,-2264.6,0,[],0,0,[],40.0
2023-04-03,100,-2270.8,0,[],0,0,[],40.0
2023-04-04,100,-2289.2,0,[],0,0,[],40.0
2023-04-05,100.0,-2342.7,2,2023-4-5-20-17-58-835000-5.504999876022339_2023-4-5-22-32-37-860000-8.309999942779541_,0,0,[],40.0
2023-04-06,100,-2407.1,0,[],0,0,[],40.0
2023-04-07,100,-2414.8,0,[],0,0,[],40.0
2023-04-08,100,-2513.8,0,[],0,0,[],40.0
2023-04-09,100,-2423.7,0,[],0,0,[],40.0
2023-04-10,100,-2482.9,0,[],0,0,[],40.0
2023-04-11,100,-2429.4,0,[],0,0,[],40.0
2023-04-12,100,-2431.1,0,[],0,0,[],40.0
2023-04-13,100,-2412.9,0,[],0,0,[],40.0
2023-04-14,100,-2395.0,0,[],0,0,[],40.0
2023-04-15,100,-2551.8,0,[],0,0,[],40.0
2023-04-16,100,-2657.7,0,[],0,0,[],40.0
