fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,100.0,695.1,1,2023-1-1-0-0-0-0-2.548393_,0,1,2023-1-1-23-26-58-848393_,25.0
2023-01-02,100,726.1,0,[],0,2,2023-1-2-0-23-28-268393_2023-1-2-18-11-59-718393_,25.0
2023-01-03,100,737.1,0,[],0,0,[],25.0
2023-01-04,100,727.4,0,[],0,0,[],25.0
2023-01-05,100,733.6,0,[],0,1,2023-1-5-11-4-50-98393_,25.0
2023-01-06,100,712.9,0,[],0,3,2023-1-6-0-4-20-648393_2023-1-6-2-1-49-248393_2023-1-6-4-37-41-198393_,25.0
2023-01-07,76.8,729.3,1,2023-1-7-18-25-27-958393-20072.041607_,0,0,[],25.0
2023-01-08,0,-9,0,[],0,0,[],-9
2023-01-09,0,-9,0,[],0,0,[],-9
2023-01-10,0,-9,0,[],0,0,[],-9
2023-01-11,0,-9,0,[],0,0,[],-9
2023-01-12,0,-9,0,[],0,0,[],-9
2023-01-13,0,-9,0,[],0,0,[],-9
2023-01-14,0,-9,0,[],0,0,[],-9
2023-01-15,0,-9,0,[],0,0,[],-9
2023-01-16,0,-9,0,[],0,0,[],-9
2023-01-17,0,-9,0,[],0,0,[],-9
2023-01-18,0,-9,0,[],0,0,[],-9
2023-01-19,0,-9,0,[],0,0,[],-9
2023-01-20,0,-9,0,[],0,0,[],-9
2023-01-21,0,-9,0,[],0,0,[],-9
2023-01-22,0,-9,0,[],0,0,[],-9
2023-01-23,0,-9,0,[],0,0,[],-9
2023-01-24,0,-9,0,[],0,0,[],-9
2023-01-25,0,-9,0,[],0,0,[],-9
2023-01-26,0,-9,0,[],0,0,[],-9
2023-01-27,0,-9,0,[],0,0,[],-9
2023-01-28,0,-9,0,[],0,0,[],-9
2023-01-29,0,-9,0,[],0,0,[],-9
2023-01-30,0,-9,0,[],0,0,[],-9
2023-01-31,0,-9,0,[],0,0,[],-9
2023-02-01,0,-9,0,[],0,0,[],-9
2023-02-02,0,-9,0,[],0,0,[],-9
2023-02-03,0,-9,0,[],0,0,[],-9
2023-02-04,0,-9,0,[],0,0,[],-9
2023-02-05,0,-9,0,[],0,0,[],-9
2023-02-06,0,-9,0,[],0,0,[],-9
2023-02-07,0,-9,0,[],0,0,[],-9
2023-02-08,0,-9,0,[],0,0,[],-9
2023-02-09,0,-9,0,[],0,0,[],-9
2023-02-10,0,-9,0,[],0,0,[],-9
2023-02-11,0,-9,0,[],0,0,[],-9
2023-02-12,0,-9,0,[],0,0,[],-9
2023-02-13,0,-9,0,[],0,0,[],-9
2023-02-14,0,-9,0,[],0,0,[],-9
2023-02-15,0,-9,0,[],0,0,[],-9
2023-02-16,21.8,753.2,2,2023-2-16-0-0-0-0-41695.968393_2023-2-16-12-22-12-958393-25885.99999976158_,0,1,2023-2-16-22-20-2-418393_,45.0
2023-02-17,100,754.7,0,[],0,0,[],25.0
2023-02-18,100,751.9,0,[],1,2,2023-2-18-9-47-0-438393_2023-2-18-23-25-34-268393_,25.0
2023-02-19,100,733.6,0,[],1,0,[],25.0
2023-02-20,100,724.4,0,[],1,1,2023-2-20-14-30-34-788393_,25.0
2023-02-21,100,728.2,0,[],0,1,2023-2-21-2-19-47-138393_,25.0
2023-02-22,100,720.9,0,[],0,0,[],25.0
2023-02-23,100,712.5,0,[],0,1,2023-2-23-0-4-45-188393_,25.0
2023-02-24,100,712.7,0,[],0,1,2023-2-24-4-20-17-8391_,25.0
2023-02-25,100,704.5,0,[],1,0,[],25.0
2023-02-26,100,722.1,0,[],1,1,2023-2-26-18-8-59-68394_,25.0
2023-02-27,100,730.0,0,[],0,2,2023-2-27-13-49-36-968393_2023-2-27-19-35-57-18393_,25.0
2023-02-28,100,736.6,0,[],0,2,2023-2-28-5-56-2-128393_2023-2-28-21-45-2-278393_,25.0
2023-03-01,100,751.9,0,[],1,0,[],25.0
2023-03-02,100,758.4,0,[],1,2,2023-3-2-20-39-37-918393_2023-3-2-23-35-18-668393_,25.0
2023-03-03,100,762.5,0,[],0,0,[],25.0
2023-03-04,100,759.5,0,[],0,1,2023-3-4-7-21-22-568393_,25.0
2023-03-05,100,751.8,0,[],0,1,2023-3-5-14-37-11-248393_,25.0
2023-03-06,100,737.7,0,[],0,0,[],25.0
2023-03-07,100,742.5,0,[],0,1,2023-3-7-1-34-2-198393_,25.0
2023-03-08,100,730.7,0,[],0,0,[],25.0
2023-03-09,100,746.4,0,[],0,2,2023-3-9-9-51-19-788393_2023-3-9-11-6-12-438393_,25.0
2023-03-10,100,744.7,0,[],0,3,2023-3-10-7-26-16-328393_2023-3-10-9-19-27-878393_2023-3-10-20-49-45-528393_,25.0
2023-03-11,100,761.0,0,[],0,2,2023-3-11-5-13-19-88393_2023-3-11-21-13-14-438393_,25.0
2023-03-12,80.3,730.6,1,2023-3-12-7-32-54-958393-17057.99999976158_,0,1,2023-3-12-20-28-4-918393_,20.0
2023-03-13,55.0,690.5,1,2023-3-13-1-29-8-958393-38838.99999976158_,0,1,2023-3-13-20-35-24-318393_,40.0
2023-03-14,80.5,692.3,1,2023-3-14-7-1-8-958393-16874.99999976158_,0,1,2023-3-14-5-8-20-768393_,25.0
2023-03-15,85.8,714.2,2,2023-3-15-8-57-39-958394-11150.0_2023-3-15-13-49-24-958394-1105.0_,0,1,2023-3-15-6-1-40-88394_,25.0
2023-03-16,71.6,689.4,1,2023-3-16-4-44-14-958393-24514.99999976158_,0,1,2023-3-16-15-7-34-568393_,30.0
2023-03-17,100,676.8,0,[],0,1,2023-3-17-18-45-26-428393_,25.0
2023-03-18,100,668.5,0,[],0,0,[],25.0
2023-03-19,100,679.4,0,[],0,0,[],25.0
2023-03-20,96.2,690.7,1,2023-3-20-11-18-6-958393-3281.9999997615814_,0,0,[],25.0
2023-03-21,89.7,716.7,1,2023-3-21-9-49-16-958391-8876.000001907349_,0,2,2023-3-21-6-17-48-508391_2023-3-21-13-58-11-468393_,25.0
2023-03-22,71.4,714.8,2,2023-3-22-6-6-20-958393-21477.99999976158_2023-3-22-12-9-8-958393-3219.9999997615814_,0,1,2023-3-22-20-17-46-18393_,25.0
2023-03-23,100,706.6,0,[],0,1,2023-3-23-18-10-3-198391_,25.0
2023-03-24,100,701.7,0,[],0,0,[],25.0
2023-03-25,88.0,730.0,2,2023-3-25-11-44-19-958393-7019.999999761581_2023-3-25-14-6-49-958393-3358.9999997615814_,0,1,2023-3-25-9-25-32-498393_,25.0
2023-03-26,48.6,720.7,2,2023-3-26-0-34-44-958393-39994.99999976158_2023-3-26-11-59-35-958393-4398.999999761581_,0,2,2023-3-26-18-11-27-868393_2023-3-26-23-1-34-818393_,40.0
2023-03-27,60.3,714.0,2,2023-3-27-3-13-23-958393-31278.99999976158_2023-3-27-11-55-23-958393-3024.9999997615814_,1,1,2023-3-27-22-9-47-868393_,35.0
2023-03-28,66.1,710.4,1,2023-3-28-4-11-30-958393-29298.000000953674_,1,0,[],35.0
