fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-08-15,0,-9,0,[],0,0,[],-9
2023-08-16,94.1,-53527.6,1,2023-8-16-0-0-0-0-5067.345_,0,0,[],35.0
2023-08-17,100,-53549.6,0,[],0,1,2023-8-17-17-6-10-875000_,40.0
2023-08-18,100,-53582.5,0,[],0,2,2023-8-18-1-16-53-95000_2023-8-18-9-33-0-245000_,35.0
2023-08-19,100,-53574.8,0,[],0,0,[],30.0
2023-08-20,100,-53598.8,0,[],0,0,[],30.0
2023-08-21,100,-53610.3,0,[],0,0,[],30.0
2023-08-22,100,-53607.2,0,[],0,0,[],30.0
2023-08-23,100.0,-53675.0,1,2023-8-23-19-32-53-230000-16.480000019073486_,0,0,[],30.0
2023-08-24,100,-53660.3,0,[],0,0,[],30.0
2023-08-25,100,-53632.0,0,[],0,0,[],30.0
2023-08-26,100,-53597.0,0,[],0,0,[],30.0
2023-08-27,100,-53550.0,0,[],0,1,2023-8-27-21-46-55-445000_,30.0
2023-08-28,100,-53521.5,0,[],0,0,[],30.0
2023-08-29,100,-53487.2,0,[],0,1,2023-8-29-5-1-59-695001_,30.0
2023-08-30,100.0,-53462.3,1,2023-8-30-0-0-0-0-1.645_,0,0,[],30.0
2023-08-31,100,-53428.2,0,[],0,0,[],30.0
2023-09-01,99.8,-53409.0,1,2023-9-1-20-22-9-180000-140.07999968528748_,0,0,[],30.0
2023-09-02,100,-53421.6,0,[],0,0,[],30.0
2023-09-03,100,-53457.1,0,[],0,0,[],30.0
2023-09-04,100.0,-53511.5,1,2023-9-4-0-0-0-0-0.905_,0,0,[],30.0
2023-09-05,100.0,-53526.3,1,2023-9-5-16-58-21-880000-8.239999771118164_,1,0,[],30.0
2023-09-06,100,-53450.8,0,[],0,0,[],30.0
2023-09-07,100.0,-53486.8,2,2023-9-7-0-0-0-0-1.745_2023-9-7-20-58-18-540000-8.239999771118164_,0,0,[],30.0
2023-09-08,100,-53521.5,0,[],0,0,[],30.0
2023-09-09,100,-53487.0,0,[],0,0,[],30.0
2023-09-10,100.0,-53490.5,1,2023-9-10-21-16-35-560000-6.179999828338623_,0,0,[],30.0
2023-09-11,100.0,-53497.6,1,2023-9-11-20-56-15-410000-4.120000123977661_,0,0,[],30.0
2023-09-12,100.0,-53543.2,1,2023-9-12-0-0-0-0-2.045_,0,0,[],30.0
2023-09-13,100.0,-53522.4,1,2023-9-13-0-0-0-0-0.865_,0,0,[],30.0
2023-09-14,100,-53546.9,0,[],0,0,[],30.0
2023-09-15,100,-53639.4,0,[],0,0,[],30.0
2023-09-16,100,-53696.3,0,[],0,1,2023-9-16-13-30-7-495000_,30.0
2023-09-17,100,-53712.7,0,[],0,0,[],30.0
2023-09-18,100,-53724.3,0,[],0,1,2023-9-18-10-3-21-735000_,30.0
2023-09-19,100,-53752.8,0,[],0,1,2023-9-19-6-40-55-75000_,30.0
2023-09-20,100.0,-53773.8,1,2023-9-20-16-58-36-820000-6.1800010204315186_,0,0,[],30.0
2023-09-21,100.0,-53791.7,1,2023-9-21-0-0-0-0-0.995_,0,0,[],30.0
2023-09-22,100.0,-53832.5,1,2023-9-22-0-0-0-0-1.695_,0,0,[],30.0
2023-09-23,100,-53904.7,0,[],0,0,[],30.0
2023-09-24,100,-53972.9,0,[],0,0,[],30.0
2023-09-25,100.0,-54046.9,3,2023-9-25-0-0-0-0-0.835_2023-9-25-19-41-59-620000-10.299999952316284_2023-9-25-19-43-26-140000-4.119999647140503_,0,0,[],30.0
2023-09-26,100,-54135.7,0,[],0,0,[],30.0
2023-09-27,100.0,-54251.9,1,2023-9-27-0-0-0-0-0.425_,0,0,[],30.0
2023-09-28,100.0,-54359.0,1,2023-9-28-19-20-18-290000-8.240000009536743_,0,0,[],30.0
2023-09-29,100.0,-54515.6,1,2023-9-29-0-0-0-0-2.015_,0,0,[],30.0
2023-09-30,100,-54610.7,0,[],0,0,[],30.0
2023-10-01,100,-54707.4,0,[],0,0,[],30.0
2023-10-02,100.0,-54805.1,1,2023-10-2-0-0-0-0-1.685_,0,0,[],30.0
2023-10-03,100,-54963.7,0,[],0,0,[],30.0
2023-10-04,100.0,-54652.1,2,2023-10-4-0-0-0-0-0.125_2023-10-4-17-30-34-80000-8.230000019073486_,0,0,[],30.0
2023-10-05,100.0,-54193.3,1,2023-10-5-17-15-17-380001-6.1799986362457275_,0,1,2023-10-5-19-5-56-465000_,30.0
2023-10-06,99.9,-54127.1,2,2023-10-6-0-0-0-0-1.215_2023-10-6-15-52-36-580000-78.27999997138977_,0,0,[],30.0
2023-10-07,100,-54052.7,0,[],0,0,[],30.0
2023-10-08,100,-53996.8,0,[],0,0,[],30.0
2023-10-09,100.0,-53950.4,1,2023-10-9-0-0-0-0-0.355_,0,0,[],30.0
2023-10-10,100.0,-53901.0,1,2023-10-10-0-0-0-0-1.085_,0,0,[],30.0
2023-10-11,100.0,-53943.3,1,2023-10-11-0-0-0-0-1.345_,0,0,[],30.0
2023-10-12,100.0,-53984.8,1,2023-10-12-0-0-0-0-0.825_,0,0,[],30.0
2023-10-13,100.0,-53958.5,1,2023-10-13-0-0-0-0-1.855_,0,0,[],30.0
2023-10-14,100,-53952.1,0,[],0,0,[],30.0
2023-10-15,100,-53969.4,0,[],0,0,[],30.0
2023-10-16,100.0,-54010.5,1,2023-10-16-0-0-0-0-0.725_,0,0,[],30.0
2023-10-17,100.0,-53983.9,1,2023-10-17-0-0-0-0-0.955_,0,0,[],30.0
2023-10-18,100.0,-53939.8,1,2023-10-18-0-0-0-0-1.435_,0,0,[],30.0
2023-10-19,100.0,-54028.3,1,2023-10-19-0-0-0-0-1.065_,0,0,[],30.0
2023-10-20,100.0,-54229.0,1,2023-10-20-21-23-15-320000-8.239999771118164_,0,0,[],30.0
2023-10-21,100.0,-54254.5,1,2023-10-21-21-57-7-540000-12.359999895095825_,0,0,[],30.0
2023-10-22,100,-54290.7,0,[],0,0,[],30.0
2023-10-22,100.0,-54290.7,1,2023-10-22-0-0-0-0-0.265_,0,0,[],30.0
2023-10-23,100,-54289.7,0,[],0,0,[],30.0
2023-10-24,100,-54276.5,0,[],0,0,[],30.0
2023-10-25,100.0,-54286.4,2,2023-10-25-0-0-0-0-0.895_2023-10-25-20-22-13-150000-6.179999828338623_,0,0,[],30.0
2023-10-26,100.0,-54315.2,1,2023-10-26-0-0-0-0-0.485_,0,0,[],30.0
2023-10-27,100,-54299.0,0,[],0,0,[],30.0
2023-10-28,100,-54291.1,0,[],0,1,2023-10-28-11-41-49-45000_,30.0
2023-10-29,100,-54303.6,0,[],0,0,[],30.0
2023-10-30,100,-54255.7,0,[],0,1,2023-10-30-11-44-43-465001_,30.0
2023-10-31,100,-54145.6,0,[],0,0,[],30.0
2023-11-01,100,-54110.1,0,[],0,0,[],30.0
2023-11-02,100.0,-54115.1,1,2023-11-2-0-0-0-0-0.745001_,0,0,[],30.0
2023-11-03,100,-54118.8,0,[],0,1,2023-11-3-10-35-12-815000_,30.0
2023-11-04,100,-54110.4,0,[],0,1,2023-11-4-11-1-0-485000_,30.0
2023-11-05,100,-54117.2,0,[],0,1,2023-11-5-12-20-44-424999_,30.0
2023-11-06,100,-54089.2,0,[],0,0,[],30.0
2023-11-07,100.0,-54084.0,2,2023-11-7-0-0-0-0-0.755_2023-11-7-18-34-32-890000-8.240000009536743_,0,0,[],30.0
2023-11-08,100,-54057.3,0,[],0,1,2023-11-8-4-50-16-615000_,30.0
2023-11-09,100.0,-53978.3,5,2023-11-9-14-49-45-870000-6.179999828338623_2023-11-9-15-4-4-890000-8.240000009536743_2023-11-9-15-31-6-80000-6.179999828338623_2023-11-9-22-31-26-210000-8.240000247955322_2023-11-9-22-49-5-50000-6.180000066757202_,0,0,[],30.0
2023-11-10,100.0,-53940.0,4,2023-11-10-13-53-34-300000-4.119999885559082_2023-11-10-15-38-39-510000-6.1799986362457275_2023-11-10-20-27-11-319999-6.1800007820129395_2023-11-10-20-30-2-300000-4.119999885559082_,0,0,[],30.0
2023-11-11,100,-53954.2,0,[],0,0,[],30.0
2023-11-12,100,-53941.4,0,[],0,0,[],30.0
2023-11-13,100,-53933.6,0,[],0,0,[],30.0
2023-11-14,100,-53919.3,0,[],0,0,[],30.0
2023-11-15,100,-53962.5,0,[],0,0,[],30.0
2023-11-16,100,-53977.9,0,[],0,0,[],30.0
2023-11-17,100.0,-53936.0,2,2023-11-17-0-0-0-0-1.805_2023-11-17-22-44-29-150000-6.179999828338623_,0,0,[],30.0
2023-11-18,100,-54027.6,0,[],0,0,[],30.0
2023-11-19,100,-54125.5,0,[],0,0,[],30.0
2023-11-20,100,-54156.1,0,[],0,0,[],30.0
2023-11-21,100.0,-54155.5,1,2023-11-21-0-0-0-0-0.955_,0,0,[],30.0
2023-11-22,100,-54127.9,0,[],0,0,[],30.0
2023-11-23,100.0,-54083.5,2,2023-11-23-0-0-0-0-1.635_2023-11-23-22-50-37-900000-8.239999771118164_,0,0,[],30.0
2023-11-24,100.0,-54064.4,1,2023-11-24-0-0-0-0-0.675_,0,1,2023-11-24-3-44-14-225000_,30.0
