fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,100.0,3429.3,1,2023-1-1-0-0-0-0-0.838393_,0,0,[],10.0
2023-01-02,100,3422.7,0,[],0,0,[],10.0
2023-01-03,100,3422.7,0,[],0,0,[],0.0
2023-01-04,100,3421.4,0,[],0,0,[],0.0
2023-01-05,100,3418.7,0,[],0,0,[],0.0
2023-01-06,100,3415.4,0,[],0,0,[],0.0
2023-01-07,100,3413.4,0,[],0,0,[],0.0
2023-01-08,100,3424.1,0,[],0,3,2023-1-8-13-32-23-798391_2023-1-8-13-33-17-648391_2023-1-8-13-34-8-848391_,5.0
2023-01-09,100,3452.1,0,[],0,0,[],10.0
2023-01-10,100,3487.6,0,[],0,0,[],0.0
2023-01-11,100,3475.4,0,[],0,0,[],0.0
2023-01-12,100,3449.1,0,[],0,0,[],0.0
2023-01-13,100,3439.6,0,[],0,1,2023-1-13-16-43-54-638393_,0.0
2023-01-14,100,3445.6,0,[],0,0,[],10.0
2023-01-15,99.6,3433.3,2,2023-1-15-16-35-11-958393-371.9999997615814_2023-1-15-16-53-39-958393-2.999999761581421_,0,0,[],10.0
2023-01-16,100,3376.5,0,[],0,0,[],10.0
2023-01-17,100,3377.7,0,[],0,0,[],5.0
2023-01-18,100,3378.5,0,[],0,0,[],0.0
2023-01-19,100,3374.5,0,[],0,0,[],5.0
2023-01-20,100,3369.5,0,[],1,6,2023-1-20-11-30-35-478393_2023-1-20-11-33-19-278393_2023-1-20-22-16-7-718393_2023-1-20-22-25-56-318393_2023-1-20-22-29-29-18393_2023-1-20-22-30-25-868393_,5.0
2023-01-21,100,3366.1,0,[],0,0,[],5.0
2023-01-22,100,3363.6,0,[],0,0,[],0.0
2023-01-23,100,3357.7,0,[],0,0,[],0.0
2023-01-24,100,3350.4,0,[],0,0,[],5.0
2023-01-25,100,3346.8,0,[],2,0,[],0.0
2023-01-26,100,3353.1,0,[],0,0,[],0.0
2023-01-27,100,3371.1,0,[],1,0,[],0.0
2023-01-28,100,3364.6,0,[],0,0,[],10.0
2023-01-29,100,3368.6,0,[],0,0,[],5.0
2023-01-30,100,3363.4,0,[],1,0,[],5.0
2023-01-31,100,3367.4,0,[],0,0,[],10.0
2023-02-01,100,3375.1,0,[],0,0,[],10.0
2023-02-02,100,3375.4,0,[],0,0,[],10.0
2023-02-03,100,3366.2,0,[],0,0,[],5.0
2023-02-04,100,3365.6,0,[],0,0,[],10.0
