fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-01-01,100.0,-25020.8,1,0,0,40.0
2023-01-02,100,-25003.8,0,0,0,40.0
2023-01-03,100,-24311.4,0,0,2,40.0
2023-01-04,100,-15534.1,0,0,1,40.0
2023-01-05,100,-15519.5,0,0,0,40.0
2023-01-06,100,-15487.3,0,0,0,40.0
2023-01-07,100,-15433.2,0,0,0,40.0
2023-01-08,100,-15391.3,0,0,1,40.0
2023-01-09,100,-15361.3,0,0,0,40.0
2023-01-10,100,-15341.8,0,0,0,40.0
2023-01-11,100,-15299.6,0,0,1,40.0
2023-01-12,100,-15242.5,0,0,0,40.0
2023-01-13,100,-14884.6,0,0,2,40.0
2023-01-14,100,-24313.7,0,0,2,40.0
2023-01-15,100,-24580.9,0,0,0,40.0
2023-01-16,100,-24197.8,0,0,3,40.0
2023-01-17,100,-24514.9,0,0,0,40.0
2023-01-18,100,-24482.8,0,0,0,40.0
2023-01-19,100,-24450.7,0,0,0,40.0
2023-01-20,100,-24418.1,0,1,0,40.0
2023-01-21,100,-24394.3,0,0,0,40.0
2023-01-22,100,-24366.9,0,0,2,40.0
2023-01-23,100,-24329.9,0,0,1,40.0
2023-01-24,100,-24289.0,0,0,1,40.0
2023-01-25,100,-24266.4,0,2,1,40.0
2023-01-26,100,-24256.1,0,0,1,40.0
2023-01-27,100,-24243.5,0,1,0,40.0
2023-01-28,100,-24224.5,0,0,0,40.0
2023-01-29,100,-24186.2,0,0,0,40.0
2023-01-30,100,-24152.4,0,1,1,40.0
2023-01-31,100,-23800.9,0,0,7,40.0
2023-02-01,100,-24138.9,0,0,0,40.0
2023-02-02,100,-24114.4,0,0,1,40.0
2023-02-03,100,-24069.5,0,0,0,40.0
2023-02-04,100,-24025.8,0,0,0,40.0
2023-02-05,100,-24010.0,0,0,0,40.0
2023-02-06,100,-23991.9,0,0,0,40.0
2023-02-07,100,-23996.2,0,1,0,40.0
2023-02-08,100,-23973.2,0,0,0,40.0
2023-02-09,100,-23953.5,0,0,0,40.0
2023-02-10,100,-23935.2,0,0,1,40.0
2023-02-11,100,-23926.5,0,0,0,40.0
2023-02-12,100,-23909.3,0,0,0,40.0
2023-02-13,100,-23894.0,0,0,1,40.0
2023-02-14,100,-23876.3,0,1,1,40.0
2023-02-15,100,-23853.6,0,2,1,40.0
2023-02-16,100,-23809.3,0,1,1,40.0
2023-02-17,100,-23781.6,0,0,0,40.0
2023-02-18,100,-23761.9,0,1,0,40.0
2023-02-19,100,-23734.5,0,1,0,40.0
2023-02-20,100,-23695.3,0,1,0,40.0
2023-02-21,100,-23668.6,0,0,3,40.0
2023-02-22,100,-23648.8,0,0,0,40.0
2023-02-23,100,-23614.0,0,0,0,40.0
2023-02-24,100,-23593.1,0,0,2,40.0
2023-02-25,100,-23560.6,0,1,2,40.0
2023-02-26,100,-23545.8,0,1,0,40.0
2023-02-27,100,-23529.6,0,0,0,40.0
2023-02-28,100,-23510.8,0,0,2,40.0
2023-03-01,100,-23487.5,0,1,0,40.0
2023-03-02,100,-23475.3,0,1,0,40.0
2023-03-03,100,-23457.3,0,0,1,40.0
2023-03-04,100,-23423.2,0,0,0,40.0
2023-03-05,100,-23390.8,0,0,0,40.0
2023-03-06,100,-23372.7,0,0,0,40.0
2023-03-07,100,-23377.3,0,0,3,40.0
2023-03-08,100,-23343.9,0,0,1,40.0
2023-03-09,100,-23291.1,0,0,0,40.0
2023-03-10,100,-23271.5,0,0,2,40.0
2023-03-11,100,-23230.1,0,0,2,40.0
2023-03-12,100,-23185.8,0,0,0,40.0
2023-03-13,100,-23157.2,0,0,0,40.0
2023-03-14,100,-23157.8,0,0,0,40.0
2023-03-15,100,-23130.2,0,0,2,40.0
2023-03-16,100,-23108.7,0,0,0,40.0
2023-03-17,100,-23078.7,0,0,0,40.0
2023-03-18,100,-23054.9,0,0,1,40.0
2023-03-19,100,-23020.2,0,0,0,40.0
2023-03-20,100,-22982.7,0,0,1,40.0
2023-03-21,100,-22949.8,0,0,2,40.0
2023-03-22,100,-22923.5,0,0,0,40.0
2023-03-23,100,-22555.6,0,0,2,40.0
2023-03-24,100,-22948.5,0,0,0,40.0
2023-03-25,100,-22951.5,0,0,1,40.0
2023-03-26,100,-22922.9,0,0,0,40.0
2023-03-27,100,-22893.9,0,1,2,40.0
2023-03-28,100,-22513.9,0,2,2,40.0
2023-03-29,100,-22779.2,0,1,1,40.0
2023-03-30,100,-22761.7,0,2,1,40.0
2023-03-31,100,-22726.5,0,0,0,40.0
2023-04-01,100,-22715.1,0,0,1,40.0
2023-04-02,100,-22689.6,0,0,1,40.0
2023-04-03,100,-22653.7,0,0,1,40.0
2023-04-04,100,-22327.4,0,0,2,40.0
2023-04-05,100,-22836.2,0,2,2,40.0
2023-04-06,98.8,-32172.6,3,0,0,40.0
2023-04-07,100,-32154.2,0,0,0,40.0
2023-04-08,100,-32122.5,0,0,2,40.0
2023-04-09,100,-32091.8,0,0,0,40.0
2023-04-10,100,-32019.9,0,0,0,40.0
2023-04-11,100,-32028.7,0,0,2,40.0
2023-04-12,100,-31089.8,0,0,2,40.0
2023-04-13,100,-30557.4,0,0,6,40.0
2023-04-14,100,-32015.0,0,0,0,40.0
2023-04-15,100,-31991.6,0,0,1,40.0
2023-04-16,100,-31961.9,0,0,0,40.0
2023-04-17,100,-31931.1,0,3,0,40.0
2023-04-18,100,-31907.0,0,0,0,40.0
2023-04-19,100,-31887.4,0,3,1,40.0
2023-04-20,100,-31034.0,0,0,5,40.0
2023-04-21,100,-31824.3,0,0,0,40.0
2023-04-22,100,-31819.4,0,0,1,40.0
2023-04-23,100,-31799.1,0,0,0,40.0
2023-04-24,100,-31756.3,0,0,0,40.0
2023-04-25,100,-31747.8,0,0,1,40.0
2023-04-26,100,-31730.1,0,1,1,40.0
2023-04-27,100,-31731.6,0,2,0,40.0
2023-04-28,100,-31718.5,0,0,0,40.0
2023-04-29,100,-31712.5,0,0,1,40.0
2023-04-30,100,-31699.6,0,0,1,40.0
2023-05-01,100,-31695.2,0,0,4,40.0
2023-05-02,100,-31708.2,0,0,0,40.0
2023-05-03,100,-31687.9,0,0,1,40.0
2023-05-04,100,-31658.9,0,0,1,40.0
2023-05-05,100,-28759.1,0,0,6,50.0
2023-05-06,100,-20837.6,0,0,5,40.0
2023-05-07,100,-22229.5,0,0,0,40.0
2023-05-08,100,-22196.7,0,0,1,40.0
2023-05-09,100,-22198.4,0,0,2,40.0
2023-05-10,100,-21195.5,0,0,6,50.0
2023-05-11,100,-22254.3,0,1,1,40.0
2023-05-12,100,-22250.7,0,0,1,40.0
2023-05-13,100,-29877.5,0,0,4,40.0
2023-05-14,100,-31625.1,0,0,2,40.0
2023-05-15,100,-31587.6,0,0,0,40.0
2023-05-16,100,-31556.2,0,0,0,40.0
2023-05-17,100,-31509.7,0,0,0,40.0
2023-05-18,100,-31493.1,0,0,1,40.0
2023-05-19,100,-30091.1,0,0,8,40.0
2023-05-20,100,-31058.6,0,0,2,40.0
2023-05-21,100,-31448.8,0,0,0,40.0
2023-05-22,100,-31417.2,0,0,1,40.0
2023-05-23,100,-31401.4,0,0,0,40.0
2023-05-24,100,-31355.7,0,0,2,40.0
2023-05-25,100,-31302.2,0,0,2,40.0
2023-05-26,100,-31269.6,0,0,0,40.0
2023-05-27,100,-31271.8,0,0,0,40.0
2023-05-28,100,-29996.7,0,0,3,40.0
2023-05-29,100,-21730.1,0,1,1,40.0
2023-05-30,100,-21681.5,0,0,0,40.0
2023-05-31,100,-21656.6,0,0,0,40.0
2023-06-01,100,-21634.1,0,0,0,40.0
2023-06-02,100,-21611.7,0,0,0,40.0
2023-06-03,100,-21600.3,0,0,1,40.0
2023-06-04,100,-21563.2,0,0,1,40.0
2023-06-05,100,-21528.3,0,0,0,40.0
2023-06-06,100,-21493.1,0,0,1,40.0
2023-06-07,100,-21461.4,0,0,1,40.0
2023-06-08,64.0,-20849.8,1,0,2,40.0
2023-06-09,1.5,-21379.4,5,0,0,40.0
2023-06-10,57.6,-21361.2,1,0,0,40.0
2023-06-11,100,-21331.0,0,1,2,40.0
2023-06-12,100,-21300.1,0,0,1,40.0
2023-06-13,100,-21267.5,0,0,0,40.0
2023-06-14,100,-21239.6,0,0,0,40.0
2023-06-15,100,-20872.8,0,0,2,40.0
2023-06-16,100,-20879.3,0,1,4,40.0
2023-06-17,100.0,-21213.4,1,0,2,40.0
2023-06-18,100,-21213.3,0,0,0,40.0
2023-06-19,100,-21187.3,0,0,0,40.0
2023-06-20,100,-21152.1,0,0,1,40.0
2023-06-21,100,-21111.1,0,2,0,40.0
2023-06-22,100,-21071.7,0,4,0,40.0
2023-06-23,100,-21041.4,0,0,0,40.0
2023-06-24,100,-21022.1,0,0,2,40.0
2023-06-25,100,-20989.7,0,0,0,40.0
2023-06-26,100,-20963.5,0,0,0,40.0
