fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-01-01,100.0,12475.6,1,0,0,40.0
2023-01-02,100,6363.0,0,0,0,40.0
2023-01-03,100,2232.6,0,0,0,40.0
2023-01-04,100,-5357.7,0,0,0,40.0
2023-01-05,100,-52.1,0,0,0,40.0
2023-01-06,100,11341.6,0,0,0,40.0
2023-01-07,100,11366.4,0,0,0,40.0
2023-01-08,100,15232.4,0,0,0,40.0
2023-01-09,100,18121.9,0,0,0,40.0
2023-01-10,100,17795.3,0,0,0,40.0
2023-01-11,100,18493.2,0,0,0,40.0
2023-01-12,100,10287.9,0,0,0,40.0
2023-01-13,100,20801.7,0,0,0,40.0
2023-01-14,100,28503.0,0,0,0,40.0
2023-01-15,100,16416.2,0,0,0,40.0
2023-01-16,100,11559.7,0,0,0,40.0
2023-01-17,100,16342.6,0,0,0,40.0
2023-01-18,100,23308.0,0,0,0,40.0
2023-01-19,100,15377.8,0,0,0,40.0
2023-01-20,100.0,14570.3,1,0,0,40.0
2023-01-21,100,14260.1,0,0,0,40.0
2023-01-22,100,19817.7,0,0,0,40.0
2023-01-23,100,19860.5,0,0,0,40.0
2023-01-24,100,26951.2,0,0,0,40.0
2023-01-25,100.0,19934.7,2,0,0,40.0
2023-01-26,100,21415.6,0,0,0,40.0
2023-01-27,100.0,25073.6,1,0,0,40.0
2023-01-28,70.4,14164.1,1,0,0,40.0
2023-01-29,42.5,13860.6,2,0,0,30.0
2023-01-30,100.0,24028.9,1,0,0,40.0
2023-01-31,100,25347.5,0,0,0,40.0
2023-02-01,100,19845.2,0,0,0,40.0
2023-02-02,100,23037.3,0,0,0,40.0
2023-02-03,100,19263.9,0,0,0,40.0
2023-02-04,100,23281.9,0,0,0,40.0
2023-02-05,100,22494.1,0,0,0,40.0
2023-02-06,100,23679.5,0,0,0,40.0
2023-02-07,99.8,28231.9,4,0,0,40.0
2023-02-08,100,32436.2,0,0,0,40.0
2023-02-09,100,23669.9,0,0,0,40.0
2023-02-10,100,7869.1,0,0,0,40.0
2023-02-11,100,12670.6,0,0,0,40.0
2023-02-12,100,22436.4,0,0,0,40.0
2023-02-13,100,22102.8,0,0,0,40.0
