fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-09-05,0,-9,0,0,0,-9
2023-09-06,0,-9,0,0,0,-9
2023-09-07,0,-9,0,0,0,-9
2023-09-08,0,-9,0,0,0,-9
2023-09-09,0,-9,0,0,0,-9
2023-09-10,0,-9,0,0,0,-9
2023-09-11,0,-9,0,0,0,-9
2023-09-12,0,-9,0,0,0,-9
2023-09-13,0,-9,0,0,0,-9
2023-09-14,0,-9,0,0,0,-9
2023-09-15,0,-9,0,0,0,-9
2023-09-16,0,-9,0,0,0,-9
2023-09-17,0,-9,0,0,0,-9
2023-09-18,0,-9,0,0,0,-9
2023-09-19,0,-9,0,0,0,-9
2023-09-20,0,-9,0,0,0,-9
2023-09-21,0,-9,0,0,0,-9
2023-09-22,0,-9,0,0,0,-9
2023-09-23,0,-9,0,0,0,-9
2023-09-24,0,-9,0,0,0,-9
2023-09-25,0,-9,0,0,0,-9
2023-09-26,0,-9,0,0,0,-9
2023-09-27,0,-9,0,0,0,-9
2023-09-28,0,-9,0,0,0,-9
2023-09-29,0,-9,0,0,0,-9
2023-09-30,0,-9,0,0,0,-9
2023-10-01,0,-9,0,0,0,-9
2023-10-02,0,-9,0,0,0,-9
2023-10-03,0,-9,0,0,0,-9
2023-10-04,0,-9,0,0,0,-9
2023-10-05,0,-9,0,0,0,-9
2023-10-06,0,-9,0,0,0,-9
2023-10-07,0,-9,0,0,0,-9
2023-10-08,0,-9,0,0,0,-9
2023-10-09,0,-9,0,0,0,-9
2023-10-10,0,-9,0,0,0,-9
2023-10-11,0,-9,0,0,0,-9
2023-10-12,0,-9,0,0,0,-9
2023-10-13,0,-9,0,0,0,-9
2023-10-14,0,-9,0,0,0,-9
2023-10-15,0,-9,0,0,0,-9
2023-10-16,0,-9,0,0,0,-9
2023-10-17,0,-9,0,0,0,-9
2023-10-18,0,-9,0,0,0,-9
2023-10-19,0,-9,0,0,0,-9
2023-10-20,0,-9,0,0,0,-9
2023-10-21,0,-9,0,0,0,-9
2023-10-22,0,-9,0,0,0,-9
2023-10-22,0,-9,0,0,0,-9
2023-10-23,38.8,-21.1,1,0,0,10.0
2023-10-24,100,-3.2,0,0,5,0.0
2023-10-25,100.0,-6.2,2,0,6,0.0
2023-10-26,100.0,-5.7,2,0,1,0.0
2023-10-27,100,-9.4,0,0,5,0.0
2023-10-28,100,-6.1,0,0,3,0.0
2023-10-29,100,-3.6,0,0,4,0.0
2023-10-30,100.0,-9.3,1,0,5,0.0
2023-10-31,100,-9.5,0,0,3,0.0
2023-11-01,100,-5.4,0,0,0,0.0
2023-11-02,100.0,-7.0,2,0,2,0.0
2023-11-03,100.0,-2.8,1,0,4,0.0
2023-11-04,100,4.2,0,0,4,0.0
2023-11-05,100,1.9,0,0,1,0.0
2023-11-06,100,0.5,0,0,1,0.0
2023-11-07,100.0,-0.7,2,0,4,0.0
2023-11-08,100,0.3,0,0,4,0.0
2023-11-09,100.0,-2.5,5,0,2,0.0
2023-11-10,99.4,1.9,4,0,6,0.0
2023-11-11,100.0,0.1,1,0,2,0.0
2023-11-12,100,2.7,0,0,6,0.0
2023-11-13,100,0.7,0,0,3,0.0
2023-11-14,100.0,3.7,1,0,3,0.0
2023-11-15,100,1.0,0,0,2,0.0
2023-11-16,100.0,-0.6,1,0,3,0.0
2023-11-17,100.0,-1.0,2,0,7,0.0
2023-11-18,99.9,1.6,1,0,9,0.0
2023-11-19,100,2.0,0,0,3,0.0
2023-11-20,100.0,5.6,1,0,0,0.0
2023-11-21,100.0,5.3,1,0,2,0.0
2023-11-22,100,3.1,0,0,4,0.0
2023-11-23,100.0,4.8,2,0,4,0.0
2023-11-24,100.0,7.6,1,0,6,0.0
