fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-01-01,100.0,815.7,1,0,0,0.0
2023-01-02,100,943.2,0,0,0,0.0
2023-01-03,100,757.8,0,0,0,0.0
2023-01-04,100,1208.8,0,0,0,0.0
2023-01-05,100,904.5,0,0,1,0.0
2023-01-06,100,855.7,0,0,1,0.0
2023-01-07,100,911.8,0,0,0,0.0
2023-01-08,100,734.9,0,0,1,0.0
2023-01-09,100,1175.9,0,0,0,0.0
2023-01-10,100,762.6,0,0,0,0.0
2023-01-11,100,1174.0,0,0,1,0.0
2023-01-12,100,1031.4,0,0,0,0.0
2023-01-13,100,1304.1,0,0,2,0.0
2023-01-14,100,790.4,0,0,0,0.0
2023-01-15,100,1024.2,0,0,1,0.0
2023-01-16,100,1151.4,0,0,0,0.0
2023-01-17,100,790.4,0,0,0,0.0
2023-01-18,100,821.1,0,0,2,0.0
2023-01-19,100,1072.6,0,0,0,0.0
2023-01-20,100,979.6,0,1,7,0.0
2023-01-21,100,930.9,0,0,0,0.0
2023-01-22,100,750.5,0,0,0,0.0
2023-01-23,100,1093.3,0,0,0,0.0
2023-01-24,100,1415.0,0,0,0,0.0
2023-01-25,100,1527.7,0,2,0,0.0
2023-01-26,100,1532.6,0,0,0,0.0
2023-01-27,100,1275.4,0,1,1,0.0
2023-01-28,100,1208.2,0,0,0,0.0
2023-01-29,100,1257.1,0,0,0,0.0
2023-01-30,100,878.5,0,1,1,0.0
2023-01-31,100,1069.0,0,0,0,0.0
2023-02-01,100,1146.2,0,0,1,0.0
2023-02-02,100,795.7,0,0,0,0.0
2023-02-03,100,1162.2,0,0,0,0.0
2023-02-04,100,571.4,0,0,0,0.0
2023-02-05,100,1293.8,0,0,0,0.0
2023-02-06,100,1130.3,0,0,6,5.0
2023-02-07,100,1063.1,0,1,3,0.0
2023-02-08,100,1338.7,0,0,0,0.0
2023-02-09,100,1157.2,0,0,0,0.0
2023-02-10,100,1086.8,0,0,0,0.0
2023-02-11,100,785.2,0,0,1,0.0
2023-02-12,100,546.1,0,0,0,0.0
2023-02-13,100,950.6,0,0,1,0.0
2023-02-14,100,1093.4,0,1,0,0.0
2023-02-15,100,1129.5,0,2,5,0.0
2023-02-16,100,686.5,0,1,3,0.0
2023-02-17,100,924.7,0,0,0,0.0
2023-02-18,100,678.8,0,1,1,0.0
2023-02-19,100,1031.4,0,1,0,0.0
2023-02-20,100,830.9,0,1,2,0.0
2023-02-21,100,673.2,0,0,0,0.0
2023-02-22,100,785.3,0,0,0,0.0
2023-02-23,100,1127.6,0,0,4,0.0
2023-02-24,100,1310.0,0,0,1,0.0
2023-02-25,100,957.7,0,1,0,0.0
2023-02-26,100,1064.3,0,1,0,0.0
2023-02-27,100,971.9,0,0,0,0.0
2023-02-28,100,1271.3,0,0,0,0.0
2023-03-01,100,1116.8,0,1,0,0.0
2023-03-02,100,1045.7,0,1,3,0.0
2023-03-03,100,1135.6,0,0,1,0.0
2023-03-04,100,1064.4,0,0,0,0.0
2023-03-05,100,754.4,0,0,0,0.0
2023-03-06,100,950.6,0,0,1,0.0
2023-03-07,100,897.7,0,0,1,0.0
2023-03-08,100,498.6,0,0,0,0.0
2023-03-09,100,581.6,0,0,0,0.0
2023-03-10,100,746.2,0,0,4,0.0
2023-03-11,100,748.7,0,0,3,0.0
2023-03-12,100,879.1,0,0,0,0.0
2023-03-13,100,715.9,0,0,0,0.0
2023-03-14,100,1050.7,0,0,1,0.0
2023-03-15,100,746.9,0,0,3,0.0
2023-03-16,100,1213.2,0,0,2,0.0
2023-03-17,100,1109.8,0,0,1,0.0
2023-03-18,100,975.1,0,0,3,0.0
2023-03-19,100,930.1,0,0,0,0.0
2023-03-20,100,1100.9,0,0,0,0.0
2023-03-21,100,1107.0,0,0,3,0.0
2023-03-22,100,1160.0,0,0,2,0.0
2023-03-23,100,946.9,0,0,0,0.0
2023-03-24,100,891.5,0,0,0,0.0
2023-03-25,100,1090.8,0,0,0,0.0
2023-03-26,100,976.8,0,0,0,0.0
2023-03-27,100,1183.5,0,1,1,0.0
2023-03-28,100,1058.5,0,2,2,0.0
2023-03-29,100.0,975.1,1,0,0,0.0
2023-03-30,100,932.8,0,2,7,0.0
2023-03-31,100,1109.9,0,0,0,0.0
2023-04-01,100,1274.3,0,0,0,0.0
2023-04-02,100,950.7,0,0,3,0.0
2023-04-03,100,1396.8,0,0,3,0.0
2023-04-04,100,1164.7,0,0,5,0.0
2023-04-05,100,1058.2,0,2,1,0.0
2023-04-06,100,843.1,0,0,1,0.0
2023-04-07,100,1177.5,0,0,2,0.0
2023-04-08,100,1038.9,0,0,0,0.0
2023-04-09,100,1184.5,0,0,0,0.0
2023-04-10,100,888.8,0,0,0,0.0
2023-04-11,100,1001.7,0,0,0,0.0
2023-04-12,100,1173.2,0,0,0,0.0
2023-04-13,100,1182.0,0,0,2,0.0
2023-04-14,100,925.8,0,0,2,0.0
2023-04-15,100,1082.3,0,0,0,0.0
2023-04-16,100,535.2,0,0,3,0.0
2023-04-17,100,620.1,0,3,0,0.0
2023-04-18,100,963.9,0,0,1,0.0
2023-04-19,100,1034.2,0,3,0,0.0
2023-04-20,100,917.8,0,0,3,0.0
2023-04-21,100,774.6,0,0,3,0.0
2023-04-22,100,1005.0,0,0,4,0.0
2023-04-23,100,1496.3,0,0,0,0.0
2023-04-24,100,1198.2,0,0,6,0.0
2023-04-25,100,1155.8,0,0,1,0.0
2023-04-26,100,904.1,0,1,0,0.0
2023-04-27,100,852.9,0,2,0,0.0
2023-04-28,100,1166.3,0,0,1,0.0
2023-04-29,100,1026.6,0,0,0,0.0
2023-04-30,100,970.1,0,0,0,0.0
2023-05-01,100,1163.4,0,0,0,0.0
2023-05-02,100,1266.7,0,0,0,0.0
2023-05-03,100,1163.8,0,0,2,0.0
2023-05-04,100,1258.3,0,0,0,0.0
2023-05-05,100,1405.6,0,0,1,0.0
2023-05-06,100,1282.4,0,0,1,0.0
2023-05-07,100,1171.0,0,0,0,0.0
2023-05-08,100,1240.8,0,0,0,0.0
2023-05-09,100,1101.7,0,0,0,0.0
2023-05-10,100,697.4,0,0,3,0.0
2023-05-11,100,938.7,0,1,0,0.0
2023-05-12,100,935.5,0,0,1,0.0
2023-05-13,100,1042.2,0,0,0,0.0
2023-05-14,100,917.8,0,0,2,0.0
2023-05-15,100,785.1,0,0,0,0.0
2023-05-16,100,990.3,0,0,0,0.0
2023-05-17,100,888.7,0,0,4,0.0
2023-05-18,100,1448.8,0,0,1,0.0
2023-05-19,100,1345.3,0,0,1,0.0
2023-05-20,100,541.4,0,0,3,0.0
2023-05-21,100,547.3,0,0,7,0.0
2023-05-22,100,876.6,0,0,2,0.0
2023-05-23,13.2,1018.9,1,0,0,0.0
2023-05-24,0,-9,0,0,0,-9
2023-05-25,0,-9,0,0,0,-9
2023-05-26,0,-9,0,0,0,-9
2023-05-27,0,-9,0,0,0,-9
2023-05-28,0,-9,0,0,0,-9
2023-05-29,0,-9,0,0,0,-9
2023-05-30,0,-9,0,0,0,-9
2023-05-31,0,-9,0,0,0,-9
2023-06-01,0,-9,0,0,0,-9
2023-06-02,0,-9,0,0,0,-9
2023-06-03,0,-9,0,0,0,-9
2023-06-04,0,-9,0,0,0,-9
2023-06-05,0,-9,0,0,0,-9
2023-06-06,0,-9,0,0,0,-9
2023-06-07,0,-9,0,0,0,-9
2023-06-08,0,-9,0,0,0,-9
2023-06-09,0,-9,0,0,0,-9
2023-06-10,0,-9,0,0,0,-9
2023-06-11,0,-9,0,0,0,-9
2023-06-12,0,-9,0,0,0,-9
2023-06-13,0,-9,0,0,0,-9
2023-06-14,0,-9,0,0,0,-9
2023-06-15,0,-9,0,0,0,-9
2023-06-16,0,-9,0,0,0,-9
2023-06-17,0,-9,0,0,0,-9
2023-06-18,0,-9,0,0,0,-9
2023-06-19,0,-9,0,0,0,-9
2023-06-20,0,-9,0,0,0,-9
2023-06-21,0,-9,0,0,0,-9
2023-06-22,23.7,4620.1,1,2,0,0.0
