fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-01-01,100.0,184.0,1,0,5,25.0
2023-01-02,100,185.0,0,0,5,25.0
2023-01-03,100,185.9,0,0,1,25.0
2023-01-04,100,188.2,0,0,2,25.0
2023-01-05,100,186.2,0,0,6,25.0
2023-01-06,100,186.1,0,0,5,25.0
2023-01-07,100,184.8,0,0,8,25.0
2023-01-08,100,185.7,0,0,2,25.0
2023-01-09,100,185.0,0,0,2,25.0
2023-01-10,100,186.3,0,0,1,25.0
2023-01-11,100,186.5,0,0,1,25.0
2023-01-12,100,186.8,0,0,5,25.0
2023-01-13,100,187.0,0,0,4,25.0
2023-01-14,100,188.0,0,0,4,25.0
2023-01-15,100,186.8,0,0,3,25.0
2023-01-16,100,184.1,0,0,6,25.0
2023-01-17,100,184.1,0,0,3,25.0
2023-01-18,100,185.9,0,0,3,25.0
2023-01-19,100,185.5,0,0,4,25.0
2023-01-20,100,184.0,0,1,5,25.0
2023-01-21,100,183.8,0,0,4,25.0
2023-01-22,100,184.7,0,0,6,25.0
2023-01-23,100,185.3,0,0,3,25.0
2023-01-24,100,183.6,0,0,2,25.0
2023-01-25,100,182.2,0,2,0,25.0
2023-01-26,100,181.9,0,0,8,25.0
2023-01-27,100,183.4,0,1,2,25.0
2023-01-28,100,184.1,0,0,8,25.0
2023-01-29,100,183.6,0,0,8,25.0
2023-01-30,100,180.6,0,1,5,25.0
2023-01-31,100,182.5,0,0,6,25.0
2023-02-01,100,183.2,0,0,1,25.0
2023-02-02,100,181.7,0,0,5,25.0
2023-02-03,100,179.0,0,0,5,25.0
2023-02-04,100,181.4,0,0,3,25.0
2023-02-05,100,180.6,0,0,6,25.0
2023-02-06,100,178.6,0,0,6,25.0
2023-02-07,100,180.0,0,1,7,25.0
2023-02-08,100,180.3,0,0,3,25.0
2023-02-09,100,178.5,0,0,4,25.0
2023-02-10,100,178.6,0,0,2,25.0
2023-02-11,100,175.9,0,0,4,25.0
2023-02-12,100,176.7,0,0,4,25.0
2023-02-13,100,177.4,0,0,5,25.0
2023-02-14,100,178.1,0,1,8,25.0
2023-02-15,100,180.2,0,2,5,25.0
2023-02-16,100,180.4,0,1,6,25.0
2023-02-17,100,177.7,0,0,5,25.0
2023-02-18,100,176.6,0,1,6,25.0
2023-02-19,100,177.3,0,1,11,25.0
2023-02-20,100,181.0,0,1,5,25.0
2023-02-21,100,181.7,0,0,8,25.0
2023-02-22,100,186.5,0,0,3,25.0
2023-02-23,100,185.2,0,0,7,25.0
2023-02-24,100,182.3,0,0,4,25.0
2023-02-25,100,183.0,0,1,3,25.0
2023-02-26,100,180.1,0,1,7,25.0
2023-02-27,100,180.3,0,0,2,25.0
2023-02-28,100,182.4,0,0,9,25.0
2023-03-01,100,183.6,0,1,3,25.0
2023-03-02,100,181.7,0,1,4,25.0
2023-03-03,100,178.9,0,0,6,25.0
2023-03-04,100,181.6,0,0,9,25.0
2023-03-05,100,182.9,0,0,5,25.0
2023-03-06,100,181.4,0,0,9,25.0
2023-03-07,100,181.1,0,0,5,25.0
2023-03-08,100,182.2,0,0,4,25.0
2023-03-09,100,179.9,0,0,3,25.0
2023-03-10,100,179.3,0,0,7,25.0
2023-03-11,100,182.3,0,0,4,25.0
2023-03-12,100,184.4,0,0,6,25.0
2023-03-13,100,183.4,0,0,7,25.0
2023-03-14,100,183.3,0,0,5,25.0
2023-03-15,100,182.6,0,0,8,25.0
2023-03-16,100,184.0,0,0,4,25.0
2023-03-17,100,183.3,0,0,5,25.0
2023-03-18,100,183.2,0,0,2,25.0
2023-03-19,100,182.7,0,0,1,25.0
2023-03-20,100,182.4,0,0,3,25.0
2023-03-21,100,179.0,0,0,0,25.0
2023-03-22,100,178.6,0,0,1,25.0
2023-03-23,100,175.7,0,0,4,25.0
2023-03-24,100,176.2,0,0,9,25.0
2023-03-25,100,174.1,0,0,3,25.0
2023-03-26,100,177.0,0,0,3,25.0
2023-03-27,82.3,180.3,1,0,2,25.0
2023-03-28,0,-9,0,0,0,-9
2023-03-29,0,-9,0,0,0,-9
2023-03-30,0,-9,0,0,0,-9
2023-03-31,0,-9,0,0,0,-9
2023-04-01,0,-9,0,0,0,-9
2023-04-02,0,-9,0,0,0,-9
2023-04-03,0,-9,0,0,0,-9
2023-04-04,0,-9,0,0,0,-9
2023-04-05,0,-9,0,0,0,-9
2023-04-06,0,-9,0,0,0,-9
2023-04-07,0,-9,0,0,0,-9
2023-04-08,0,-9,0,0,0,-9
2023-04-09,0,-9,0,0,0,-9
2023-04-10,0,-9,0,0,0,-9
2023-04-11,0,-9,0,0,0,-9
2023-04-12,0,-9,0,0,0,-9
2023-04-13,0,-9,0,0,0,-9
2023-04-14,0,-9,0,0,0,-9
2023-04-15,0,-9,0,0,0,-9
2023-04-16,0,-9,0,0,0,-9
2023-04-17,0,-9,0,0,0,-9
2023-04-18,0,-9,0,0,0,-9
2023-04-19,0,-9,0,0,0,-9
2023-04-20,0,-9,0,0,0,-9
2023-04-21,0,-9,0,0,0,-9
2023-04-22,0,-9,0,0,0,-9
2023-04-23,0,-9,0,0,0,-9
2023-04-24,0,-9,0,0,0,-9
2023-04-25,0,-9,0,0,0,-9
2023-04-26,0,-9,0,0,0,-9
2023-04-27,0,-9,0,0,0,-9
2023-04-28,0,-9,0,0,0,-9
2023-04-29,0,-9,0,0,0,-9
2023-04-30,0,-9,0,0,0,-9
2023-05-01,0,-9,0,0,0,-9
2023-05-02,0,-9,0,0,0,-9
2023-05-03,0,-9,0,0,0,-9
2023-05-04,0,-9,0,0,0,-9
2023-05-05,0,-9,0,0,0,-9
2023-05-06,0,-9,0,0,0,-9
2023-05-07,0,-9,0,0,0,-9
2023-05-08,0,-9,0,0,0,-9
2023-05-09,0,-9,0,0,0,-9
2023-05-10,0,-9,0,0,0,-9
2023-05-11,0,-9,0,0,0,-9
2023-05-12,0,-9,0,0,0,-9
2023-05-13,0,-9,0,0,0,-9
2023-05-14,0,-9,0,0,0,-9
2023-05-15,0,-9,0,0,0,-9
2023-05-16,0,-9,0,0,0,-9
2023-05-17,0,-9,0,0,0,-9
2023-05-18,0,-9,0,0,0,-9
2023-05-19,0,-9,0,0,0,-9
2023-05-20,0,-9,0,0,0,-9
2023-05-21,0,-9,0,0,0,-9
2023-05-22,0,-9,0,0,0,-9
2023-05-23,0,-9,0,0,0,-9
2023-05-24,0,-9,0,0,0,-9
2023-05-25,0,-9,0,0,0,-9
2023-05-26,0,-9,0,0,0,-9
2023-05-27,0,-9,0,0,0,-9
2023-05-28,0,-9,0,0,0,-9
2023-05-29,0,-9,0,0,0,-9
2023-05-30,0,-9,0,0,0,-9
2023-05-31,0,-9,0,0,0,-9
2023-06-01,0,-9,0,0,0,-9
2023-06-02,0,-9,0,0,0,-9
2023-06-03,0,-9,0,0,0,-9
2023-06-04,0,-9,0,0,0,-9
2023-06-05,0,-9,0,0,0,-9
2023-06-06,0,-9,0,0,0,-9
2023-06-07,0,-9,0,0,0,-9
2023-06-08,0,-9,0,0,0,-9
2023-06-09,0,-9,0,0,0,-9
2023-06-10,0,-9,0,0,0,-9
2023-06-11,26.5,169.7,1,0,0,30.0
2023-06-12,94.5,174.3,1,0,5,25.0
2023-06-13,100,185.2,0,0,1,25.0
2023-06-14,100,186.1,0,0,0,25.0
2023-06-15,100,187.4,0,0,1,25.0
2023-06-16,100,189.0,0,1,3,25.0
2023-06-17,100.0,194.0,1,0,2,25.0
2023-06-18,100,189.1,0,0,2,25.0
2023-06-19,100,184.8,0,0,4,25.0
2023-06-20,100,184.0,0,0,4,25.0
2023-06-21,100,185.7,0,2,3,25.0
2023-06-22,100,188.4,0,4,0,25.0
2023-06-23,100,195.8,0,0,3,25.0
2023-06-24,100,196.6,0,0,2,25.0
2023-06-25,100,199.6,0,0,2,25.0
2023-06-26,100,197.7,0,0,4,25.0
2023-06-27,100,193.8,0,0,1,25.0
2023-06-28,100,191.5,0,0,4,25.0
2023-06-29,100.0,194.7,1,0,3,25.0
2023-06-30,100.0,196.9,1,0,3,25.0
2023-07-01,100.0,197.6,1,0,3,25.0
2023-07-02,100,202.2,0,0,1,25.0
2023-07-03,100,203.7,0,0,2,25.0
2023-07-04,100,208.9,0,0,2,25.0
2023-07-05,100.0,202.1,1,0,1,25.0
2023-07-06,100.0,207.9,1,0,2,25.0
2023-07-07,100.0,203.0,1,0,1,25.0
2023-07-08,100,204.0,0,0,8,25.0
2023-07-09,100,201.0,0,0,4,25.0
2023-07-10,100,199.8,0,0,2,25.0
2023-07-11,100.0,203.1,1,0,5,25.0
2023-07-12,100,201.1,0,2,6,25.0
2023-07-13,100.0,197.8,1,4,2,25.0
2023-07-14,100,201.4,0,1,2,25.0
2023-07-15,100,203.2,0,0,3,25.0
2023-07-16,100,202.5,0,0,4,25.0
2023-07-17,100.0,203.0,1,0,6,25.0
2023-07-18,100,204.0,0,0,1,25.0
2023-07-19,100.0,198.4,1,0,3,25.0
2023-07-20,100,195.4,0,0,4,25.0
2023-07-21,100,195.3,0,0,5,25.0
2023-07-22,100,199.2,0,0,1,25.0
2023-07-23,100,196.4,0,0,3,25.0
2023-07-24,100.0,198.7,1,2,7,25.0
2023-07-26,100.0,207.0,1,0,9,25.0
2023-07-27,100.0,202.2,1,1,6,25.0
2023-07-28,100,196.7,0,0,1,25.0
2023-07-29,100,196.6,0,0,4,25.0
2023-07-30,100,196.4,0,0,8,25.0
2023-07-31,100,202.5,0,0,6,25.0
2023-08-01,100.0,199.6,1,0,7,25.0
2023-08-02,100.0,201.5,1,0,2,25.0
2023-08-03,100.0,197.3,1,0,7,25.0
2023-08-04,100.0,200.7,1,2,2,25.0
2023-08-05,100,199.4,0,2,4,25.0
2023-08-06,100,203.5,0,0,8,25.0
2023-08-07,100,203.8,0,0,3,25.0
2023-08-08,100.0,200.6,1,0,3,25.0
2023-08-09,100.0,202.3,1,1,1,25.0
2023-08-10,100.0,203.8,1,0,2,25.0
2023-08-11,100.0,198.0,1,0,5,25.0
2023-08-12,100,202.2,0,0,4,25.0
2023-08-13,100,204.9,0,0,6,25.0
2023-08-14,100.0,198.2,1,0,10,25.0
