fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-09-05,0,-9,0,0,0,-9
2023-09-06,0,-9,0,0,0,-9
2023-09-07,0,-9,0,0,0,-9
2023-09-08,0,-9,0,0,0,-9
2023-09-09,0,-9,0,0,0,-9
2023-09-10,0,-9,0,0,0,-9
2023-09-11,0,-9,0,0,0,-9
2023-09-12,0,-9,0,0,0,-9
2023-09-13,0,-9,0,0,0,-9
2023-09-14,0,-9,0,0,0,-9
2023-09-15,0,-9,0,0,0,-9
2023-09-16,0,-9,0,0,0,-9
2023-09-17,0,-9,0,0,0,-9
2023-09-18,0,-9,0,0,0,-9
2023-09-19,0,-9,0,0,0,-9
2023-09-20,0,-9,0,0,0,-9
2023-09-21,0,-9,0,0,0,-9
2023-09-22,0,-9,0,0,0,-9
2023-09-23,0,-9,0,0,0,-9
2023-09-24,0,-9,0,0,0,-9
2023-09-25,0,-9,0,0,0,-9
2023-09-26,0,-9,0,0,0,-9
2023-09-27,0,-9,0,0,0,-9
2023-09-28,0,-9,0,0,0,-9
2023-09-29,0,-9,0,0,0,-9
2023-09-30,0,-9,0,0,0,-9
2023-10-01,0,-9,0,0,0,-9
2023-10-02,0,-9,0,0,0,-9
2023-10-03,0,-9,0,0,0,-9
2023-10-04,0,-9,0,0,0,-9
2023-10-05,0,-9,0,0,0,-9
2023-10-06,0,-9,0,0,0,-9
2023-10-07,0,-9,0,0,0,-9
2023-10-08,0,-9,0,0,0,-9
2023-10-09,0,-9,0,0,0,-9
2023-10-10,0,-9,0,0,0,-9
2023-10-11,0,-9,0,0,0,-9
2023-10-12,0,-9,0,0,0,-9
2023-10-13,0,-9,0,0,0,-9
2023-10-14,0,-9,0,0,0,-9
2023-10-15,0,-9,0,0,0,-9
2023-10-16,0,-9,0,0,0,-9
2023-10-17,0,-9,0,0,0,-9
2023-10-18,0,-9,0,0,0,-9
2023-10-19,0,-9,0,0,0,-9
2023-10-20,9.8,-301.5,1,0,7,30.0
2023-10-21,98.3,-5672.0,2,0,13,25.0
2023-10-22,100,-4417.8,0,0,21,25.0
2023-10-22,100.0,-4417.8,1,0,21,25.0
2023-10-23,100,-7758.6,0,0,18,20.0
2023-10-24,100,-5714.9,0,0,13,15.0
2023-10-25,100.0,-6101.5,1,0,17,25.0
2023-10-26,100.0,-6344.8,1,0,24,25.0
2023-10-27,100,-5357.5,0,0,6,0.0
2023-10-28,100,-6273.5,0,0,0,0.0
2023-10-29,100,-5157.4,0,0,5,15.0
2023-10-30,100.0,-7226.7,1,0,8,0.0
2023-10-31,100,-5707.7,0,0,4,10.0
2023-11-01,100,-5201.8,0,0,5,15.0
2023-11-02,100.0,-7286.9,1,0,11,15.0
2023-11-03,100,-5767.1,0,0,15,20.0
2023-11-04,100,-6263.4,0,0,13,25.0
2023-11-05,100,-6438.5,0,0,11,15.0
2023-11-06,100,-6104.5,0,0,17,20.0
2023-11-07,100.0,-5202.2,2,0,9,25.0
2023-11-08,100,-7124.4,0,0,18,25.0
2023-11-09,100.0,-6504.1,5,0,12,15.0
2023-11-10,100.0,-4944.7,4,0,4,20.0
2023-11-11,100,-6831.9,0,0,1,0.0
2023-11-12,100.0,-5855.4,1,0,11,15.0
2023-11-13,100,-6306.2,0,0,3,15.0
2023-11-14,100,-5746.2,0,0,12,10.0
2023-11-15,100,-6831.6,0,0,5,10.0
2023-11-16,100,-6704.9,0,0,9,10.0
2023-11-17,100.0,-5885.5,4,0,11,15.0
2023-11-18,100,-5975.5,0,0,8,10.0
2023-11-19,100,-5670.6,0,0,14,15.0
2023-11-20,100.0,-5259.0,1,0,2,10.0
2023-11-21,100.0,-7087.9,1,0,7,15.0
2023-11-22,100.0,-6270.1,2,0,10,5.0
2023-11-23,100.0,-5940.9,4,0,0,0.0
2023-11-24,100.0,-5352.1,1,0,4,0.0
